383498,209112
383498,10138
383498,1924
383498,155
383498,272
402900,1572
402900,772
402900,75656
402900,259316
402900,489931
466282,43923
466282,449176
466282,308369
466282,286565
466282,12689
363088,141052
363088,1924
363088,209112
363088,297762
363088,49521
454983,449176
454983,101299
454983,49022
454983,272693
454983,417678
455980,460019
455980,4922
455980,254470
455980,353486
455980,390043
293660,1924
293660,141052
293660,1452
293660,8536
293660,9531
283995,1924
283995,299536
283995,1452
283995,8536
283995,9531
177572,281957
177572,2048
177572,395834
177572,238636
177572,956
487558,324786
487558,363676
487558,399404
487558,424
487558,769
150540,260513
150540,812
150540,12092
150540,11360
150540,326359
159824,76492
159824,129
159824,671
159824,672
159824,675
455207,8966
455207,281957
455207,454983
455207,449176
455207,222935
400155,49017
400155,24021
400155,7131
400155,76492
400155,277
98566,272
98566,1930
98566,263115
98566,297762
98566,68721
420814,424
420814,769
420814,316029
420814,324786
420814,399404
269149,278927
269149,101299
269149,338970
269149,346364
269149,27576
445571,275
445571,473149
445571,425591
445571,2163
445571,309809
808,10882
808,809
808,38757
808,150689
808,10020
20352,342473
20352,93456
20352,11774
20352,19101
20352,309809
455656,10625
455656,272693
455656,19840
455656,2105
455656,449176
456086,295964
456086,2062
456086,66945
456086,6283
456086,3638
454992,691
454992,954
454992,37724
454992,206647
454992,646
458423,11224
458423,224141
458423,10020
458423,10882
458423,11631
449176,398818
449176,376867
449176,152584
449176,511785
449176,26371
291805,467938
291805,260346
291805,281957
291805,9654
291805,241554
460668,2062
460668,745
460668,694
460668,433
460668,453
412988,927
412988,14900
412988,11899
412988,11176
412988,64328
207703,1924
207703,155
207703,272
207703,209112
207703,297762
502682,451480
502682,5951
502682,448514
502682,125255
181533,1593
181533,863
181533,122
181533,18360
181533,205584
507562,81
507562,129
507562,493006
507562,507569
507562,372058
437557,376660
437557,11631
437557,391713
437557,112160
437557,297762
166426,1865
166426,22
166426,58
166426,285
166426,71805
425,49519
425,278154
425,387592
425,88751
425,675
10193,862
10193,863
10193,38757
10193,62211
10193,214756
14160,9479
14160,326359
14160,3933
14160,32085
14160,145316
399174,263109
399174,387592
399174,531
399174,533
399174,530
335797,260514
335797,258509
335797,9836
335797,9986
335797,44244
353486,70160
353486,333339
353486,314095
353486,131631
353486,258489
2062,10009
2062,6283
2062,308531
2062,10137
2062,212778
920,127380
920,49013
920,62211
920,128
920,168259
194662,98566
194662,155
194662,272
194662,263115
194662,315635
339846,205775
339846,228165
339846,2756
339846,11836
339846,152747
106646,4771
106646,261023
106646,400535
106646,769
106646,339692
254470,114150
254470,354912
254470,786
254470,6477
254470,525
270946,10140
270946,49013
270946,10527
270946,93456
270946,127380
390043,245891
390043,1620
390043,2502
390043,156022
390043,787
218746,52449
218746,118
218746,194
218746,11036
218746,372058
384677,769
384677,968
384677,18487
384677,11474
384677,11517
18785,298
18785,324668
18785,524
18785,9029
18785,8065
585,62211
585,1124
585,339404
585,275
585,55721
454619,3134
454619,281957
454619,357096
454619,238636
454619,395834
350,8966
350,50619
350,286565
350,222935
350,2501
503619,419430
503619,14
503619,402897
503619,935
503619,1359
809,10882
809,808
809,150689
809,810
809,10140
257344,251516
257344,333339
257344,269100
257344,27205
257344,353486
93456,49519
93456,20352
93456,324852
93456,137106
93456,207703
472918,55292
472918,36648
472918,38167
472918,36647
472918,334524
11631,437557
11631,109445
11631,433
11631,634
11631,10330
608,607
608,601
608,395
608,817
608,954
118,252
118,34584
118,10830
118,9880
118,12445
76492,159824
76492,129
76492,671
76492,672
76492,675
260514,335797
260514,258509
260514,9986
260514,9598
260514,58496
499572,856
499572,509
499572,74643
499572,188222
499572,7446
454283,105
454283,68718
454283,16314
454283,1562
454283,390043
62177,10144
62177,10882
62177,109445
62177,326359
62177,11886
324852,93456
324852,10140
324852,36819
324852,20352
324852,270946
950,425
950,435
950,7840
950,387893
49013,920
49013,270946
49013,10140
49013,9325
49013,585
43074,620
43074,416234
43074,4011
43074,1930
43074,497
127380,920
127380,12
127380,10865
127380,9479
127380,38055
278154,425
278154,17610
278154,18905
278154,49519
278154,387592
19913,50544
19913,489
19913,38
19913,862
19913,398818
268531,52449
268531,406997
268531,346364
268531,118
268531,269149
9502,140300
9502,278927
9502,24
9502,605
9502,604
1593,135397
1593,181533
1593,351286
1593,105864
1593,12144
200727,51828
200727,449176
200727,281957
200727,417678
200727,101299
88751,351286
88751,10140
88751,2454
88751,122
88751,411
313369,10947
313369,525
